"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 14 17:55:07 UTC 2025","Thu Aug 14 17:55:08 UTC 2025","1101","tests","test_productpage","","","","test_add_cart[Samsung galaxy s7]",""
"passed","Thu Aug 14 17:54:49 UTC 2025","Thu Aug 14 17:54:50 UTC 2025","1072","tests","test_invalid","","","","test_invalid_login[data0-False]",""
"failed","Thu Aug 14 17:54:48 UTC 2025","Thu Aug 14 17:54:49 UTC 2025","1040","tests","test_invalid","","","","test_invalid_signup[data3-False]",""
"passed","Thu Aug 14 17:55:02 UTC 2025","Thu Aug 14 17:55:03 UTC 2025","609","tests","test_productpage","","","","test_product_name[HTC One M9]",""
"passed","Thu Aug 14 17:54:37 UTC 2025","Thu Aug 14 17:54:39 UTC 2025","1079","tests","test_homepage","","","","test_carousel[.carousel-control-next]",""
"passed","Thu Aug 14 17:54:34 UTC 2025","Thu Aug 14 17:54:34 UTC 2025","239","tests","test_homepage","","","","test_change_category[Laptops-Sony vaio i5-True]",""
"failed","Thu Aug 14 17:54:46 UTC 2025","Thu Aug 14 17:54:47 UTC 2025","1132","tests","test_invalid","","","","test_invalid_signup[data2-False]",""
"passed","Thu Aug 14 17:55:03 UTC 2025","Thu Aug 14 17:55:05 UTC 2025","1127","tests","test_productpage","","","","test_add_cart[Nokia lumia 1520]",""
"passed","Thu Aug 14 17:55:05 UTC 2025","Thu Aug 14 17:55:06 UTC 2025","1025","tests","test_productpage","","","","test_add_cart[Sony xperia z5]",""
"passed","Thu Aug 14 17:54:36 UTC 2025","Thu Aug 14 17:54:36 UTC 2025","253","tests","test_homepage","","","","test_change_category[Monitors-Apple monitor 24-True]",""
"passed","Thu Aug 14 17:54:05 UTC 2025","Thu Aug 14 17:54:09 UTC 2025","3743","tests","test_cartpage","","","","test_check_price_cart",""
"failed","Thu Aug 14 17:54:57 UTC 2025","Thu Aug 14 17:54:58 UTC 2025","543","tests","test_invalid","","","","test_feedback_invalid",""
"passed","Thu Aug 14 17:54:44 UTC 2025","Thu Aug 14 17:54:45 UTC 2025","1036","tests","test_invalid","","","","test_invalid_signup[data1-False]",""
"passed","Thu Aug 14 17:54:53 UTC 2025","Thu Aug 14 17:54:54 UTC 2025","1023","tests","test_invalid","","","","test_invalid_login[data2-False]",""
"passed","Thu Aug 14 17:54:51 UTC 2025","Thu Aug 14 17:54:52 UTC 2025","1146","tests","test_invalid","","","","test_invalid_login[data1-False]",""
"passed","Thu Aug 14 17:54:10 UTC 2025","Thu Aug 14 17:54:16 UTC 2025","6390","tests","test_e2e","","","","test_e2e_one[Apple monitor 24-Nokia lumia 1520]",""
"passed","Thu Aug 14 17:55:09 UTC 2025","Thu Aug 14 17:55:10 UTC 2025","1010","tests","test_productpage","","","","test_add_cart[Nexus 6]",""
"passed","Thu Aug 14 17:54:35 UTC 2025","Thu Aug 14 17:54:35 UTC 2025","222","tests","test_homepage","","","","test_change_category[Laptops-Nexus 6-False]",""
"passed","Thu Aug 14 17:54:32 UTC 2025","Thu Aug 14 17:54:32 UTC 2025","280","tests","test_homepage","","","","test_change_category[Phones-Samsung galaxy s6-True]",""
"passed","Thu Aug 14 17:55:00 UTC 2025","Thu Aug 14 17:55:00 UTC 2025","510","tests","test_productpage","","","","test_product_name[Sony vaio i7]",""
"passed","Thu Aug 14 17:54:39 UTC 2025","Thu Aug 14 17:54:40 UTC 2025","1034","tests","test_homepage","","","","test_carousel[.carousel-control-prev]",""
"passed","Thu Aug 14 17:55:01 UTC 2025","Thu Aug 14 17:55:01 UTC 2025","615","tests","test_productpage","","","","test_product_name[Iphone 6 32gb]",""
"passed","Thu Aug 14 17:54:37 UTC 2025","Thu Aug 14 17:54:37 UTC 2025","229","tests","test_homepage","","","","test_change_category[Monitors-Dell i7 8gb-False]",""
"passed","Thu Aug 14 17:54:33 UTC 2025","Thu Aug 14 17:54:33 UTC 2025","260","tests","test_homepage","","","","test_change_category[Phones-Sony vaio i7-False]",""
"passed","Thu Aug 14 17:54:17 UTC 2025","Thu Aug 14 17:54:24 UTC 2025","6507","tests","test_e2e","","","","test_e2e_one[MacBook air-Iphone 6 32gb]",""
"passed","Thu Aug 14 17:54:58 UTC 2025","Thu Aug 14 17:54:59 UTC 2025","574","tests","test_productpage","","","","test_product_name[Samsung galaxy s6]",""
"passed","Thu Aug 14 17:55:11 UTC 2025","Thu Aug 14 17:55:13 UTC 2025","2273","tests","test_userdata","","","","test_log_sign",""
"passed","Thu Aug 14 17:54:24 UTC 2025","Thu Aug 14 17:54:31 UTC 2025","6539","tests","test_e2e","","","","test_e2e_one[Dell i7 8gb-Sony vaio i5]",""
"passed","Thu Aug 14 17:55:14 UTC 2025","Thu Aug 14 17:55:14 UTC 2025","587","tests","test_userdata","","","","test_feedback",""
"passed","Thu Aug 14 17:54:41 UTC 2025","Thu Aug 14 17:54:42 UTC 2025","422","tests","test_homepage","","","","test_next_table",""
"failed","Thu Aug 14 17:54:55 UTC 2025","Thu Aug 14 17:54:56 UTC 2025","1423","tests","test_invalid","","","","test_cart_invalid",""
"passed","Thu Aug 14 17:54:42 UTC 2025","Thu Aug 14 17:54:43 UTC 2025","1036","tests","test_invalid","","","","test_invalid_signup[data0-False]",""
